Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q6,Q7,Q8,Q9,studentID
B,C,E,D,B,A,B,C,D,C,B,C,C,B,E,C,D,C,D,C,A,B,B,C,E,C,B,A,C,D,A,B,D,A,A,B,C,E,A,B,D,C,B,E,B,D,,D,E,D,E,
A,D,D,B,E,C,B,A,D,E,A,B,"['B', 'D']",B,C,D,A,B,D,C,A,B,A,C,D,C,B,D,C,E,B,A,C,C,B,C,A,D,B,A,A,C,D,D,D,B,,E,B,C,B,
B,"['A', 'B']",B,C,D,E,D,C,B,A,B,B,"['B', 'C']",C,C,C,B,C,E,D,C,B,B,A,B,C,D,E,D,C,B,A,B,B,C,D,E,D,C,C,C,C,B,D,B,A,,A,B,C,B,0012516830
B,C,B,A,A,B,B,B,B,C,B,B,A,B,C,D,C,B,C,B,A,B,B,C,B,A,B,C,B,A,B,B,A,C,B,B,B,B,B,B,B,B,B,A,C,B,,C,D,D,D,1234567880
C,B,B,B,B,B,B,B,B,B,B,"['B', 'D']",B,B,B,B,B,B,B,B,B,B,"['A', 'E']",B,B,B,B,B,B,B,B,C,B,"['B', 'D']",A,B,C,D,E,E,D,C,B,D,"['A', 'E']",B,,"['B', 'D']",C,B,,001451603
A,A,E,C,B,C,D,E,C,B,C,C,D,D,E,C,C,C,A,A,B,C,C,C,B,B,C,D,D,B,B,A,A,E,B,B,C,C,D,D,B,B,C,C,A,D,,B,C,C,D,1234567898
B,C,C,B,D,C,A,A,B,B,C,B,B,E,C,D,B,A,A,D,A,C,B,C,E,B,C,E,D,B,A,B,C,A,A,B,B,C,A,B,E,C,D,B,D,D,,E,D,A,B,9898243333
B,E,A,C,D,E,E,"['C', 'E']",A,C,C,C,B,D,A,E,C,B,A,"['C', 'E']",A,B,E,E,C,B,D,E,A,B,B,D,E,A,A,C,D,B,"['D', 'E']",C,C,D,D,B,A,A,,A,D,B,D,6664327214
B,C,B,C,A,A,B,"['B', 'C']",D,E,B,C,B,C,D,D,"['B', 'C']",B,A,A,E,E,A,B,B,D,D,C,C,B,B,D,D,E,E,E,A,A,E,C,B,"['B', 'C']",D,C,C,C,,B,D,B,E,090203
A,C,,E,A,A,D,B,"['A', 'B']",E,"['B', 'E']",C,E,B,C,"['B', 'C']",B,D,A,B,D,D,B,B,E,B,D,C,A,A,E,C,A,B,B,E,E,D,D,A,A,D,B,E,D,D,,A,D,D,B,
E,,B,A,E,"['C', 'D']",C,B,D,B,"['D', 'E']",B,"['A', 'B']",B,D,C,B,C,D,E,A,B,D,E,C,D,B,C,B,D,B,D,B,D,C,,B,,D,"['B', 'E']",C,E,B,D,D,B,,D,B,C,,123456780
A,C,C,A,D,E,D,B,A,C,E,B,"['B', 'E']",D,A,B,E,C,A,A,A,C,,A,B,D,E,E,B,C,A,D,C,D,E,A,B,D,A,B,E,B,E,D,E,C,,C,C,B,C,0139284121
A,E,E,"['D', 'E']",A,A,E,E,A,A,E,A,E,E,A,A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,A,A,A,A,A,A,,A,E,E,E,7777777777
B,C,A,B,C,C,A,"['B', 'E']",E,E,E,C,E,E,E,E,E,E,B,B,A,C,A,A,D,A,C,D,A,C,A,C,A,E,E,D,B,A,C,A,C,B,D,A,D,E,,A,D,E,A,0000000000
C,A,A,A,C,A,A,A,A,C,B,B,B,B,B,B,B,C,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,A,E,,A,A,A,A,9999199999
A,A,D,E,B,C,E,C,B,A,A,D,C,E,B,E,A,C,,A,C,E,D,B,A,C,D,E,"['B', 'E']",E,E,D,C,"['A', 'C']",B,A,B,B,"['B', 'C']",C,D,D,E,E,,C,,E,C,D,B,0033225479
A,D,C,B,C,E,E,E,E,C,B,B,C,B,C,"['B', 'C']",C,C,D,C,B,C,C,B,C,B,D,E,"['D', 'E']",C,B,A,A,D,A,B,B,B,C,B,D,E,C,C,C,A,,B,,B,C,0232111000
A,D,C,D,E,E,E,D,C,D,B,E,"['B', 'E']",A,C,C,B,E,B,C,D,C,A,B,"['A', 'E']",C,B,C,A,E,A,C,B,B,D,A,D,C,B,E,A,C,E,C,C,A,,C,A,E,B,1111222233
A,B,C,D,E,D,"['B', 'C']",B,A,B,"['B', 'C']",B,D,E,D,"['B', 'C']",B,A,B,C,D,E,C,D,C,B,A,B,C,D,E,D,C,D,B,A,B,C,D,E,D,C,B,A,E,B,,D,C,B,A,0123456789
B,A,B,C,D,E,E,D,C,B,"['A', 'B']",C,B,C,D,E,D,C,D,D,D,D,D,D,D,C,B,A,B,C,D,E,D,E,C,B,A,B,C,D,"['D', 'E']",D,C,B,A,A,,B,C,D,E,0009999999
B,D,,A,C,D,E,C,B,D,E,D,E,C,"['B', 'D']",C,"['D', 'E']",D,D,C,B,D,B,B,C,B,D,B,C,D,"['C', 'D']",B,D,D,C,D,B,C,B,D,E,E,C,"['B', 'D']","['B', 'C']",A,,D,B,D,B,3197461040
B,B,D,A,E,C,D,C,D,A,B,D,D,E,D,A,C,E,B,C,A,D,A,B,E,B,C,A,B,,E,C,A,E,C,E,B,C,A,D,B,E,B,C,C,A,,A,D,B,E,0135789069
D,A,B,C,D,E,A,B,C,D,E,C,A,B,C,"['B', 'D']","['D', 'E']",A,A,B,C,D,E,E,A,B,C,D,E,A,B,C,D,B,E,A,B,C,D,E,A,B,C,D,A,E,,B,C,D,E,0215314729
D,D,E,E,D,C,B,A,B,"['B', 'C']","['B', 'D']",,E,D,C,B,A,B,A,B,C,D,B,E,D,C,B,A,B,C,D,E,D,E,C,B,A,B,C,D,E,D,C,B,C,A,,A,D,B,C,
D,,,C,B,B,A,D,B,D,C,A,C,E,B,A,B,A,E,C,D,B,D,C,A,D,B,B,E,C,,D,B,C,A,C,,B,C,,B,,D,B,E,C,,B,D,"['B', 'E']",A,0011343242
D,C,A,E,,"['B', 'D']",B,E,,C,A,C,E,C,C,D,E,A,B,E,A,D,C,B,E,E,E,D,C,B,A,A,C,D,E,D,A,E,D,B,B,A,A,A,A,D,,B,E,D,B,1019987654
C,A,B,B,B,B,E,C,,B,A,E,"['D', 'E']",,,,,,,,,,A,,,,,,,,,,,B,,,,,,,,,,,B,,,D,B,A,C,001135107
B,B,B,B,,C,C,"['B', 'C']",A,A,"['A', 'B']",A,A,A,D,B,D,D,A,A,B,D,B,B,A,A,B,B,B,A,D,C,B,D,A,D,B,,A,B,D,D,D,B,C,D,,B,E,B,B,653443210
A,C,A,E,D,D,C,A,E,E,D,A,C,C,"['A', 'B']",B,A,A,A,B,E,D,A,B,D,B,A,E,D,C,B,B,E,B,C,C,A,D,B,E,D,B,A,A,C,C,,E,C,C,B,0030000000
A,D,C,D,E,D,"['B', 'C']",B,A,B,C,B,B,A,B,C,D,E,A,B,C,D,C,E,D,C,B,A,B,C,D,E,D,B,C,B,A,B,C,D,E,D,C,B,A,A,,B,C,D,E,0123456789
A,D,C,D,C,D,A,E,"['B', 'C']",D,A,C,"['C', 'D']",B,C,"['D', 'E']","['A', 'B']",B,C,B,A,E,B,D,D,"['A', 'C']",B,E,D,A,B,C,E,B,A,B,C,B,D,D,C,A,E,D,B,C,,E,C,A,E,0123333344
B,B,A,E,C,A,E,D,B,B,A,C,A,E,A,C,A,E,B,E,C,C,,E,D,E,D,E,A,C,D,C,B,B,E,A,B,C,"['B', 'C']",E,E,A,D,D,D,A,,E,A,C,C,158312844
B,E,D,"['B', 'C']",B,D,"['B', 'C']",A,B,C,"['B', 'C']",C,E,E,E,E,"['B', 'D']",C,A,B,C,D,A,C,A,E,D,A,B,C,E,C,D,E,A,B,C,D,C,B,E,D,C,E,A,B,,B,C,B,A,1234567890
C,A,A,B,A,A,A,E,D,D,D,B,C,B,A,B,C,D,A,A,B,B,B,B,B,B,B,B,B,B,B,C,B,D,A,B,C,D,E,E,E,E,E,E,E,A,,C,C,A,A,0000200102
B,"['D', 'E']",A,D,A,D,B,"['D', 'E']",B,D,A,D,"['B', 'E']",A,D,B,"['D', 'E']",D,D,B,E,C,E,B,D,C,E,B,C,C,C,C,C,A,D,E,B,C,D,A,C,D,C,E,C,D,,D,B,D,A,11062
A,E,E,B,B,"['A', 'D']",D,C,E,D,B,B,A,C,D,E,D,D,A,B,C,C,E,D,E,E,E,D,A,A,B,C,D,D,D,B,E,E,"['A', 'B']",B,D,B,C,A,C,A,,C,C,B,D,1221122133
A,A,B,B,B,B,C,D,E,D,"['B', 'C']",E,B,A,B,C,C,C,E,E,E,E,B,D,C,C,C,C,B,A,A,A,B,D,C,D,D,D,D,C,B,E,C,B,C,A,,C,D,B,E,0123456789
B,D,C,C,B,B,"['B', 'C']",C,D,D,"['B', 'D', 'E']",C,D,C,A,A,E,C,C,C,B,B,B,E,E,C,C,C,B,A,,A,A,A,"['D', 'E']",E,C,C,D,D,D,C,A,E,D,D,D,C,B,E,D,0011763210
B,C,A,C,B,A,B,D,D,B,C,B,A,A,A,C,B,B,C,"['B', 'C']",D,A,D,A,B,A,C,D,C,A,B,A,B,C,D,B,B,B,B,B,B,B,A,B,D,B,,B,A,C,C,1122443579
A,A,A,A,A,A,A,A,"['A', 'B']",A,"['A', 'B']",A,"['A', 'B']",A,"['A', 'B']",A,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,1000000001
B,E,C,A,D,B,A,A,C,D,B,D,C,E,B,"['B', 'C']",A,D,A,E,E,C,C,D,B,C,A,D,B,D,C,A,A,E,"['B', 'D', 'E']",,"['B', 'C']",B,C,D,"['B', 'C']","['A', 'B', 'D']","['A', 'B', 'C', 'D', 'E']",A,A,C,,B,D,C,B,7777777777
B,B,A,B,C,C,B,B,B,B,"['D', 'E']",A,E,E,"['D', 'E']",D,C,B,B,B,A,A,C,A,B,C,D,"['D', 'E']","['C', 'D']",C,B,A,B,C,C,D,E,E,"['D', 'E']",E,E,A,A,A,C,A,,C,E,D,C,123456781
A,A,A,B,B,A,D,B,C,B,D,D,D,E,A,"['B', 'C']",E,C,D,C,D,E,B,D,B,A,A,A,C,B,C,D,B,C,A,D,E,C,E,D,E,C,B,A,C,B,,C,B,"['D', 'E']",D,0000000000
A,D,"['B', 'C']",B,D,B,A,A,D,C,A,C,C,C,D,A,E,C,A,A,A,C,B,B,B,B,E,E,D,C,B,A,B,D,C,C,C,D,A,C,D,D,A,A,"['D', 'E']",A,,C,B,C,D,017923477
D,C,B,D,B,A,C,"['D', 'E']",D,C,B,C,A,A,D,"['B', 'C']",C,C,A,B,D,B,"['A', 'E']",C,D,C,C,C,A,B,A,D,C,A,"['A', 'D']",B,D,A,C,E,E,E,C,A,B,C,,C,D,B,E,462307175
A,B,C,D,D,,B,B,"['B', 'C']",D,"['B', 'D']",B,"['B', 'C']",C,D,"['B', 'C']","['A', 'B', 'C', 'D', 'E']","['B', 'D']","['A', 'E']","['A', 'E']","['A', 'B', 'C', 'D', 'E']","['A', 'E']",B,"['A', 'E']",,"['A', 'B', 'C', 'D', 'E']",A,"['A', 'B', 'C', 'D']",A,"['A', 'B', 'C', 'D', 'E']",,"['A', 'B', 'C', 'D', 'E']",A,C,A,A,"['A', 'B', 'C', 'D', 'E']",,"['A', 'E']","['A', 'D']","['A', 'B', 'C', 'D']","['A', 'D']","['A', 'B', 'D', 'E']",,D,,,E,D,D,A,42069
